model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_7,0,Binding_on,Log10,12,1.079181246047625
scheme_7,1,Binding_off,Log10,6731,3.828079590556746
scheme_7,2,Rocking_on,Log10,9035,3.955928156896951
scheme_7,3,Rocking_off,Log10,242,2.383815365980431
scheme_7,4,Gating_on,Log10,1380,3.139879086401236
scheme_7,5,Gating_off,Log10,110,2.041392685158225
scheme_7,6,BR,Log10,4295,3.632963168167261
scheme_7,7,BR_0,Log10,4295,3.632963168167261
scheme_7,8,BR_1,Log10,4295,3.632963168167261
scheme_7,9,BG,Log10,0.39,-0.4089353929735008
scheme_7,10,BG_0,Log10,1,0
scheme_7,11,BG_1,Log10,0.39,-0.4089353929735008
scheme_7,12,RG,Log10,626.5799999999999,2.796976528387594
scheme_7,13,RG_0,Log10,5.31,0.725094521081469
scheme_7,14,RG_1,Log10,62.1,1.79309160017658
scheme_7,15,Gating_Current,Log10,1,0
scheme_7,16,Current_Noise,Log10,0.001,-3
scheme_7,17,Pink_Noise,Log10,5,0.6989700043360189
scheme_7,18,Proportional_Noise,Log10,0.01,-2
scheme_7,19,Current_Baseline,Log10,1,0
scheme_7,20,Num_ch,Log10,4800,3.681241237375587
