model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_16_inact,0,Binding_on,Log10,10,1
scheme_16_inact,1,Binding_off,Log10,10000,4
scheme_16_inact,2,Rocking_on,Log10,10000,4
scheme_16_inact,3,Rocking_off,Log10,100,2
scheme_16_inact,4,RB,Log10,10,1
scheme_16_inact,5,RB_0,Log10,1,0
scheme_16_inact,6,RB_1,Log10,1,0
scheme_16_inact,7,BR,Log10,10,1
scheme_16_inact,8,BR_0,Log10,1,0
scheme_16_inact,9,BR_1,Log10,1,0
scheme_16_inact,10,RR,Log10,10,1
scheme_16_inact,11,RR_0,Log10,1,0
scheme_16_inact,12,RR_1,Log10,1,0
scheme_16_inact,13,Rocking_Current_factor,Log10,10,1
scheme_16_inact,14,Leakeage_current_ratio,Log10,1e-06,-6
scheme_16_inact,15,Gating_Current,Log10,1,0
scheme_16_inact,16,Current_Noise,Log10,0.001,-3
scheme_16_inact,17,Pink_Noise,Log10,5,0.6989700043360189
scheme_16_inact,18,Proportional_Noise,Fixed,0,0
scheme_16_inact,19,Current_Baseline,Log10,1,0
scheme_16_inact,20,Num_ch,Log10,4800,3.681241237375587
scheme_16_inact,21,inactivation_rate,Log10,1e-05,-5
