model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_9,0,Binding_on,Log10,10,1
scheme_9,1,Binding_off,Log10,10000,4
scheme_9,2,Rocking_on,Log10,10000,4
scheme_9,3,Rocking_off,Log10,100,2
scheme_9,4,RB,Log10,10,1
scheme_9,5,RB_0,Log10,1,0
scheme_9,6,RB_1,Log10,1,0
scheme_9,7,Rocking_Current_factor,Log10,10,1
scheme_9,8,Leakeage_current_ratio,Log10,1e-06,-6
scheme_9,9,Gating_Current,Log10,1,0
scheme_9,10,Current_Noise,Log10,0.001,-3
scheme_9,11,Pink_Noise,Log10,5,0.6989700043360189
scheme_9,12,Proportional_Noise,Fixed,0,0
scheme_9,13,Current_Baseline,Log10,1,0
scheme_9,14,Num_ch,Log10,4800,3.681241237375587
