model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_5,0,Binding_on,Log10,5.85,0.7671558660821804
scheme_5,1,Binding_off,Log10,190,2.278753600952829
scheme_5,2,Gating_on,Log10,769,2.885926339801431
scheme_5,3,Gating_off,Log10,10.2,1.008600171761918
scheme_5,4,BG,Log10,223.696,2.349658218368158
scheme_5,5,BG_0,Log10,4.51,0.6541765418779605
scheme_5,6,BG_1,Log10,4.58,0.6608654780038692
scheme_5,7,Gating_Current,Log10,1,0
scheme_5,8,Current_Noise,Log10,0.001,-3
scheme_5,9,Pink_Noise,Log10,5,0.6989700043360189
scheme_5,10,Proportional_Noise,Log10,0.01,-2
scheme_5,11,Current_Baseline,Log10,1,0
scheme_5,12,Num_ch,Log10,4800,3.681241237375587
