model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_11,0,Binding_on,Log10,10,1
scheme_11,1,Binding_off,Log10,10000,4
scheme_11,2,Rocking_on,Log10,10000,4
scheme_11,3,Rocking_off,Log10,100,2
scheme_11,4,RB,Log10,10,1
scheme_11,5,RB_0,Log10,1,0
scheme_11,6,RB_1,Log10,1,0
scheme_11,7,BR,Log10,10,1
scheme_11,8,BR_0,Log10,1,0
scheme_11,9,BR_1,Log10,1,0
scheme_11,10,RBR,Log10,1,0
scheme_11,11,RBR_0,Log10,1,0
scheme_11,12,RBR_1,Log10,1,0
scheme_11,13,RBR_2,Log10,1,0
scheme_11,14,Rocking_Current_factor,Log10,10,1
scheme_11,15,Leakeage_current_ratio,Log10,1e-06,-6
scheme_11,16,Gating_Current,Log10,1,0
scheme_11,17,Current_Noise,Log10,0.001,-3
scheme_11,18,Pink_Noise,Log10,5,0.6989700043360189
scheme_11,19,Proportional_Noise,Log10,0.01,-2
scheme_11,20,Current_Baseline,Log10,1,0
scheme_11,21,Num_ch,Log10,4800,3.681241237375587
