model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_8,0,Binding_on,Log10,10,1
scheme_8,1,Binding_off,Log10,10000,4
scheme_8,2,Rocking_on,Log10,10000,4
scheme_8,3,Rocking_off,Log10,100,2
scheme_8,4,RBR,Log10,10,1
scheme_8,5,RBR_0,Log10,1,0
scheme_8,6,RBR_1,Log10,1,0
scheme_8,7,RBR_2,Log10,1,0
scheme_8,8,Rocking_Current_factor,Log10,10,1
scheme_8,9,Leakeage_current_ratio,Log10,1e-06,-6
scheme_8,10,Gating_Current,Log10,1,0
scheme_8,11,Current_Noise,Log10,0.001,-3
scheme_8,12,Pink_Noise,Log10,5,0.6989700043360189
scheme_8,13,Proportional_Noise,Log10,0.01,-2
scheme_8,14,Current_Baseline,Log10,1,0
scheme_8,15,Num_ch,Log10,4800,3.681241237375587
