model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_1,0,kon,Log10,10,1
scheme_1,1,koff,Log10,100,2
scheme_1,2,gating_on,Log10,743,2.870988813760575
scheme_1,3,gating_off,Log10,45.3,1.656098202012832
scheme_1,4,unitary_current,Log10,1,0
scheme_1,5,Current_Noise,Log10,0.001,-3
scheme_1,6,Pink_Noise,Log10,5,0.6989700043360189
scheme_1,7,Proportional_Noise,Log10,0.01,-2
scheme_1,8,Current_Baseline,Log10,1,0
scheme_1,9,Num_ch_mean,Log10,5000,3.698970004336019
